Улица;" Дом";" Активный"
"    
        пр-кт Ломоносовский";15;да
"
        ул Азовская";11;да
"
        пр-кт Ленинградский";29;да
"
        ул Генерала Трошева";24;нет
"
        ул Фёдора Сологуба";60;да
"
        ш Энтузиастов";70;нет
"
        ул Фёдора Сологуба";61;нет
"
        ш Энтузиастов";89;да
"
        ш Энтузиастов";90;да
"
        ш Энтузиастов";79;да
"
        ш Энтузиастов";71;да
"
        ул Генерала Трошева";24;да
"
        ул Генерала Трошева";25;да
"
        ул Азовская";12;да
"
        пр-кт Ломоносовский";30;нет
"
        пр-кт Ломоносовский";21;да
"
        пр-кт Ломоносовский";20;нет
"
        ул Азовская";19;нет
"
        ул Азовская";14;да

